Provider Name/Clinic Name,County,Pfizer Doses Requested,Total Allocated - Pfizer,Moderna Doses Requested,Total Allocated - Moderna
alpha medical clinic,Appling,0,0,600,0
american family care gateway rd,Appling,0,0,500,0
Anderson Family Medicine,Appling,0,0,3600,100
Any Lab Test Now- Windy Hill,Appling,0,0,1100,400
Appling County Health Department,Appling,0,0,7100,2800
Appling Healthcare Systems,Appling,3900,975,1800,800
Bacon County Hospital And Health System,Appling,0,0,900,700
Baxley Wellness Pharmacy,Appling,0,0,1000,600
Concord Pharmacy,Appling,0,0,7900,300
cvs 4424,Appling,0,0,100,0
Georgia Clinicwest End,Appling,2925,0,2000,0
Kroger Pharmacy 487,Appling,0,0,1300,200
Lifeline Primary Care,Appling,975,0,3500,200
Ridgeview Institute-monroe,Appling,0,0,1200,400
Sandersville Drug Co,Appling,0,0,400,0
Atkinson Co Health Department,Atkinson,0,0,1300,1200
Bacon County Health Department,Bacon,0,0,900,1000
Baker County Health Department,Baker,0,0,1100,1200
Baldwin County Health Department,Baldwin,0,0,2700,1200
Bostick Nursing Center,Baldwin,0,0,0,200
Central State Hospital,Baldwin,0,0,1100,800
Dialysis Center Of Milledgeville,Baldwin,0,0,100,0
Hm Drugs,Baldwin,0,0,800,0
Kroger Pharmacy 01100694,Baldwin,0,0,1300,300
Medical Arts Pharmacy,Baldwin,0,0,2200,500
Middle Georgia Correctional Complex Pharmacy,Baldwin,0,0,700,400
Banks County Health Department,Banks,0,0,5400,1500
Homer Drugs Llc,Banks,975,0,1600,600
Medlink Georgia - Banks,Banks,0,0,300,400
Barrow County Health Dept,Barrow,0,0,2000,400
Farmer's Prescription Shop,Barrow,0,0,1200,500
"Health Associates Of Georgia, Inc.",Barrow,1950,975,5000,1600
Ingles Pharmacy #451,Barrow,0,0,1000,600
Ingles Pharmacy #57,Barrow,0,0,1000,600
ivydale wellness center llc,Barrow,975,0,100,0
Medlink Georgia Winder,Barrow,0,0,600,700
Ngpg Auburn Primary Care,Barrow,0,0,1100,100
Ngpg Family Health Associates,Barrow,0,0,500,0
Ngpg Gateway Exchange,Barrow,0,0,200,0
Publix Pharmacy#0108,Barrow,0,0,1000,200
Publix Pharmacy#0480,Barrow,0,0,1200,300
Publix Pharmacy#1251,Barrow,0,0,1000,200
Adairsville Drug,Bartow,0,0,1700,200
Bartow County Health Department,Bartow,0,0,21800,5700
